order_id,order_date,company_id,company_name,sku,region,forecast_qty,actual_qty,absolute_error,mape_pct,carrier,warehouse,promised_date,delivered_date,delay_days,on_time_delivery,expedited,unit_price,revenue,expedited_cost,route_id,warehouse_id,inventory_before,safety_stock,stockout_flag,upload_batch_date
200115,2025-09-02,1001,Delta Plastics,SKU0002,Central MI,363,310,53,17.1%,Superior Haulage,Mid-MI Crossdock,2025-09-13,2025-09-13,0,Yes,No,10.09,3127.9,0.0,R944,W02,272,195,0,2025-09-05
200116,2024-09-07,1014,Precision Plastics West,SKU0063,West MI,307,246,61,24.8%,North Fork Logistics,Downtown Storage Co.,2024-09-11,2024-09-11,0,Yes,No,16.64,4093.44,0.0,R448,W03,128,33,1,2024-09-21
200117,2024-12-29,1004,TriCounty Components,SKU0024,West MI,160,127,33,25.98%,North Fork Logistics,Mid-MI Crossdock,2025-01-01,2025-01-02,1,No,No,18.56,2357.12,0.0,R214,W02,139,51,0,2024-12-30
200118,2025-08-28,1005,Riverbend Metals,SKU0034,Central MI,206,248,42,16.94%,Mitten Last-Mile,Downtown Storage Co.,2025-09-07,2025-09-07,0,Yes,No,16.57,4109.36,0.0,R974,W03,563,22,0,2025-09-11
200119,2024-10-25,1005,Riverbend Metals,SKU0037,Central MI,346,247,99,40.08%,Superior Haulage,Mid-MI Crossdock,2024-11-08,2024-11-09,1,No,No,15.89,3924.83,0.0,R109,W02,84,26,1,2024-10-26
200120,2025-01-20,1001,Delta Plastics,SKU0001,Northern MI,109,98,11,11.22%,Mitten Last-Mile,Downtown Storage Co.,2025-01-30,2025-01-30,0,Yes,No,16.01,1568.98,0.0,R398,W03,371,157,0,2025-02-03
200121,2023-10-27,1003,Great Lakes Fasteners,SKU0019,Central MI,201,238,37,15.55%,North Fork Logistics,Downtown Storage Co.,2023-11-05,2023-11-05,0,Yes,No,16.22,3860.36,0.0,R810,W03,333,74,0,2023-10-28
200122,2025-02-26,1013,PolyTech Midwest,SKU0054,Central MI,212,173,39,22.54%,North Fork Logistics,Lakeside Warehousing,2025-03-11,2025-03-11,0,Yes,No,9.98,1726.54,0.0,R147,W01,517,144,0,2025-02-27
200123,2025-06-17,1012,AutoSeal Gaskets,SKU0048,West MI,107,85,22,25.88%,Superior Haulage,Mid-MI Crossdock,2025-06-23,2025-06-23,0,Yes,No,14.97,1272.45,0.0,R986,W02,150,70,0,2025-06-20
200124,2024-10-03,1012,AutoSeal Gaskets,SKU0041,Central MI,101,80,21,26.25%,Mitten Last-Mile,Mid-MI Crossdock,2024-10-10,2024-10-10,0,Yes,No,16.49,1319.2,0.0,R412,W02,392,34,0,2024-10-06
200125,2025-09-05,1003,Great Lakes Fasteners,SKU0017,West MI,187,144,43,29.86%,QuickRoute Carriers,Lakeside Warehousing,2025-09-12,2025-09-12,0,Yes,No,14.41,2075.04,0.0,R144,W01,341,167,0,2025-09-06
200126,2023-08-02,1014,Precision Plastics West,SKU0066,SE MI,231,266,35,13.16%,QuickRoute Carriers,Downtown Storage Co.,2023-08-14,2023-08-15,1,No,No,17.73,4716.18,0.0,R987,W03,597,52,0,2023-08-05
200127,2025-09-13,1001,Delta Plastics,SKU0007,Central MI,218,233,15,6.44%,Superior Haulage,Downtown Storage Co.,2025-09-17,2025-09-17,0,Yes,No,17.14,3993.62,0.0,R849,W03,471,136,0,2025-09-14
200128,2024-10-17,1014,Precision Plastics West,SKU0059,SE MI,281,247,34,13.77%,North Fork Logistics,Lakeside Warehousing,2024-10-23,2024-10-23,0,Yes,No,15.62,3858.14,0.0,R880,W01,554,62,0,2024-10-31
200129,2023-06-27,1013,PolyTech Midwest,SKU0051,Central MI,484,301,183,60.8%,Mitten Last-Mile,Mid-MI Crossdock,2023-07-07,2023-07-07,0,Yes,No,17.56,5285.56,0.0,R804,W02,311,137,0,2023-07-04
200130,2025-02-18,1013,PolyTech Midwest,SKU0051,SE MI,345,331,14,4.23%,Mitten Last-Mile,Downtown Storage Co.,2025-02-21,2025-02-21,0,Yes,No,13.54,4481.74,0.0,R716,W03,389,119,0,2025-02-19
200131,2024-06-28,1013,PolyTech Midwest,SKU0052,Northern MI,146,244,98,40.16%,Superior Haulage,Downtown Storage Co.,2024-07-10,2024-07-10,0,Yes,No,10.89,2657.16,0.0,R844,W03,21,43,1,2024-07-12
200132,2024-01-01,1013,PolyTech Midwest,SKU0051,Northern MI,233,155,78,50.32%,Superior Haulage,Downtown Storage Co.,2024-01-12,2024-01-12,0,Yes,No,14.88,2306.4,0.0,R435,W03,253,158,0,2024-01-08
200133,2025-05-16,1002,Midland Moldings,SKU0014,SE MI,65,78,13,16.67%,Mitten Last-Mile,Mid-MI Crossdock,2025-05-30,2025-05-30,0,Yes,No,12.22,953.16,0.0,R891,W02,575,111,0,2025-05-19
200134,2024-08-20,1014,Precision Plastics West,SKU0062,SE MI,282,262,20,7.63%,Superior Haulage,Lakeside Warehousing,2024-08-29,2024-08-29,0,Yes,No,17.21,4509.02,0.0,R850,W01,579,25,0,2024-08-27
200135,2024-03-17,1013,PolyTech Midwest,SKU0052,Northern MI,177,127,50,39.37%,Mitten Last-Mile,Downtown Storage Co.,2024-03-27,2024-03-27,0,Yes,No,10.21,1296.67,0.0,R377,W03,263,87,0,2024-03-24
200136,2023-10-25,1001,Delta Plastics,SKU0008,Central MI,177,193,16,8.29%,QuickRoute Carriers,Mid-MI Crossdock,2023-11-05,2023-11-05,0,Yes,No,19.21,3707.53,0.0,R689,W02,265,200,0,2023-11-08
200137,2025-08-23,1004,TriCounty Components,SKU0025,West MI,53,41,12,29.27%,Superior Haulage,Mid-MI Crossdock,2025-09-04,2025-09-04,0,Yes,No,12.5,512.5,0.0,R552,W02,260,106,0,2025-08-24
200138,2023-12-16,1001,Delta Plastics,SKU0009,SE MI,315,280,35,12.5%,North Fork Logistics,Downtown Storage Co.,2023-12-24,2023-12-24,0,Yes,No,12.23,3424.4,0.0,R519,W03,368,235,0,2023-12-19
200139,2024-06-24,1004,TriCounty Components,SKU0027,West MI,526,365,161,44.11%,Superior Haulage,Downtown Storage Co.,2024-07-02,2024-07-02,0,Yes,No,7.85,2865.25,0.0,R302,W03,179,32,1,2024-06-25
200140,2025-03-12,1013,PolyTech Midwest,SKU0057,West MI,250,247,3,1.21%,Mitten Last-Mile,Lakeside Warehousing,2025-03-22,2025-03-23,1,No,No,15.76,3892.72,0.0,R275,W01,237,89,0,2025-03-15
200141,2024-01-07,1003,Great Lakes Fasteners,SKU0021,Central MI,160,147,13,8.84%,Superior Haulage,Downtown Storage Co.,2024-01-13,2024-01-13,0,Yes,No,15.48,2275.56,0.0,R136,W03,25,161,0,2024-01-10
200142,2025-08-27,1002,Midland Moldings,SKU0015,Northern MI,188,178,10,5.62%,Superior Haulage,Downtown Storage Co.,2025-09-08,2025-09-12,4,No,Yes,15.32,2726.96,354.07,R880,W03,214,49,0,2025-09-03
200143,2025-07-07,1012,AutoSeal Gaskets,SKU0044,Central MI,83,72,11,15.28%,Superior Haulage,Downtown Storage Co.,2025-07-15,2025-07-15,0,Yes,No,15.34,1104.48,0.0,R241,W03,507,146,0,2025-07-14
200144,2024-09-03,1001,Delta Plastics,SKU0007,Central MI,213,212,1,0.47%,QuickRoute Carriers,Downtown Storage Co.,2024-09-16,2024-09-16,0,Yes,No,8.48,1797.76,0.0,R124,W03,534,107,0,2024-09-10
200145,2025-09-02,1002,Midland Moldings,SKU0014,Central MI,132,176,44,25.0%,Superior Haulage,Lakeside Warehousing,2025-09-10,2025-09-10,0,Yes,No,15.37,2705.12,0.0,R393,W01,442,74,0,2025-09-09
200146,2025-08-20,1001,Delta Plastics,SKU0001,Central MI,351,334,17,5.09%,Superior Haulage,Downtown Storage Co.,2025-08-28,2025-08-28,0,Yes,No,10.26,3426.84,0.0,R115,W03,184,180,0,2025-08-23
200147,2024-11-10,1003,Great Lakes Fasteners,SKU0020,SE MI,99,103,4,3.88%,Mitten Last-Mile,Downtown Storage Co.,2024-11-13,2024-11-13,0,Yes,No,13.43,1383.29,0.0,R246,W03,455,27,0,2024-11-24
200148,2023-12-16,1002,Midland Moldings,SKU0013,Central MI,118,116,2,1.72%,North Fork Logistics,Downtown Storage Co.,2023-12-22,2023-12-29,7,No,Yes,11.26,1306.16,352.91,R371,W03,202,91,0,2023-12-30
200149,2024-09-17,1012,AutoSeal Gaskets,SKU0047,Central MI,129,110,19,17.27%,QuickRoute Carriers,Downtown Storage Co.,2024-09-28,2024-09-28,0,Yes,No,14.7,1617.0,0.0,R336,W03,239,79,0,2024-09-20
200150,2024-07-12,1001,Delta Plastics,SKU0004,SE MI,203,187,16,8.56%,Mitten Last-Mile,Mid-MI Crossdock,2024-07-20,2024-07-20,0,Yes,No,20.01,3741.87,0.0,R486,W02,21,120,1,2024-07-26
200151,2023-12-08,1002,Midland Moldings,SKU0010,Central MI,485,359,126,35.1%,Mitten Last-Mile,Downtown Storage Co.,2023-12-14,2023-12-14,0,Yes,No,12.35,4433.65,0.0,R397,W03,59,20,1,2023-12-22
200152,2025-05-22,1004,TriCounty Components,SKU0027,West MI,338,238,100,42.02%,QuickRoute Carriers,Downtown Storage Co.,2025-05-26,2025-05-26,0,Yes,No,10.68,2541.84,0.0,R463,W03,443,101,0,2025-05-25
200153,2025-02-27,1013,PolyTech Midwest,SKU0049,Central MI,302,369,67,18.16%,North Fork Logistics,Mid-MI Crossdock,2025-03-09,2025-03-09,0,Yes,No,7.33,2704.77,0.0,R585,W02,519,31,0,2025-02-28
200154,2025-07-29,1003,Great Lakes Fasteners,SKU0020,Central MI,150,123,27,21.95%,North Fork Logistics,Lakeside Warehousing,2025-08-06,2025-08-09,3,No,No,11.24,1382.52,0.0,R754,W01,491,124,0,2025-07-30
200155,2024-08-07,1005,Riverbend Metals,SKU0033,SE MI,244,213,31,14.55%,QuickRoute Carriers,Downtown Storage Co.,2024-08-18,2024-08-18,0,Yes,No,12.1,2577.3,0.0,R824,W03,389,161,0,2024-08-14
200156,2024-09-06,1012,AutoSeal Gaskets,SKU0045,West MI,84,142,58,40.85%,Mitten Last-Mile,Mid-MI Crossdock,2024-09-19,2024-09-21,2,No,Yes,11.19,1588.98,584.8,R414,W02,88,119,0,2024-09-09
200157,2025-08-21,1012,AutoSeal Gaskets,SKU0047,Northern MI,63,61,2,3.28%,Mitten Last-Mile,Mid-MI Crossdock,2025-08-31,2025-08-31,0,Yes,No,8.56,522.16,0.0,R368,W02,401,50,0,2025-09-04
200158,2024-11-21,1014,Precision Plastics West,SKU0061,Central MI,124,106,18,16.98%,North Fork Logistics,Lakeside Warehousing,2024-11-25,2024-11-25,0,Yes,No,14.54,1541.24,0.0,R279,W01,430,154,0,2024-12-05
200159,2025-09-12,1003,Great Lakes Fasteners,SKU0016,Central MI,32,33,1,3.03%,Superior Haulage,Mid-MI Crossdock,2025-09-21,2025-09-21,0,Yes,No,11.24,370.92,0.0,R995,W02,180,104,0,2025-09-26
200160,2025-09-10,1002,Midland Moldings,SKU0015,Central MI,204,210,6,2.86%,Mitten Last-Mile,Mid-MI Crossdock,2025-09-23,2025-09-30,7,No,Yes,14.91,3131.1,246.12,R985,W02,79,49,1,2025-09-11
200161,2024-12-21,1014,Precision Plastics West,SKU0063,SE MI,115,113,2,1.77%,QuickRoute Carriers,Lakeside Warehousing,2024-12-25,2024-12-25,0,Yes,No,11.88,1342.44,0.0,R356,W01,222,44,0,2025-01-04
200162,2025-08-02,1014,Precision Plastics West,SKU0060,Central MI,189,248,59,23.79%,QuickRoute Carriers,Lakeside Warehousing,2025-08-08,2025-08-08,0,Yes,No,11.84,2936.32,0.0,R155,W01,429,55,0,2025-08-05
200163,2025-08-23,1014,Precision Plastics West,SKU0062,Central MI,367,407,40,9.83%,North Fork Logistics,Lakeside Warehousing,2025-09-05,2025-09-06,1,No,Yes,16.76,6821.32,485.87,R594,W01,135,43,1,2025-08-26
200164,2025-04-04,1014,Precision Plastics West,SKU0062,West MI,184,137,47,34.31%,Mitten Last-Mile,Mid-MI Crossdock,2025-04-14,2025-04-14,0,Yes,No,13.53,1853.61,0.0,R220,W02,561,87,0,2025-04-05
200165,2024-07-27,1012,AutoSeal Gaskets,SKU0040,Northern MI,865,438,427,97.49%,Superior Haulage,Mid-MI Crossdock,2024-08-04,2024-08-04,0,Yes,No,11.68,5115.84,0.0,R401,W02,592,159,0,2024-08-10
200166,2025-06-18,1002,Midland Moldings,SKU0011,Northern MI,362,274,88,32.12%,Mitten Last-Mile,Downtown Storage Co.,2025-06-27,2025-06-27,0,Yes,No,16.63,4556.62,0.0,R415,W03,461,136,0,2025-07-02
200167,2025-01-06,1003,Great Lakes Fasteners,SKU0019,Northern MI,407,339,68,20.06%,Superior Haulage,Mid-MI Crossdock,2025-01-18,2025-01-18,0,Yes,No,17.33,5874.87,0.0,R972,W02,310,55,0,2025-01-07
200168,2025-01-25,1002,Midland Moldings,SKU0014,Northern MI,219,165,54,32.73%,QuickRoute Carriers,Mid-MI Crossdock,2025-02-08,2025-02-10,2,No,No,13.29,2192.85,0.0,R733,W02,392,160,0,2025-02-01
200169,2025-09-14,1012,AutoSeal Gaskets,SKU0044,Central MI,73,65,8,12.31%,Superior Haulage,Mid-MI Crossdock,2025-09-21,2025-09-21,0,Yes,No,13.06,848.9,0.0,R961,W02,526,105,0,2025-09-21
200170,2025-09-11,1005,Riverbend Metals,SKU0034,SE MI,70,66,4,6.06%,Superior Haulage,Lakeside Warehousing,2025-09-23,2025-09-26,3,No,Yes,10.66,703.56,486.06,R658,W01,8,134,0,2025-09-18
200171,2025-09-06,1014,Precision Plastics West,SKU0062,Central MI,366,291,75,25.77%,Mitten Last-Mile,Mid-MI Crossdock,2025-09-17,2025-09-18,1,No,No,12.75,3710.25,0.0,R735,W02,116,80,1,2025-09-20
200172,2025-08-25,1003,Great Lakes Fasteners,SKU0021,SE MI,416,441,25,5.67%,North Fork Logistics,Downtown Storage Co.,2025-09-01,2025-09-01,0,Yes,No,11.55,5093.55,0.0,R246,W03,352,36,1,2025-08-28
200173,2023-12-05,1001,Delta Plastics,SKU0003,SE MI,311,275,36,13.09%,Mitten Last-Mile,Downtown Storage Co.,2023-12-16,2023-12-16,0,Yes,No,9.66,2656.5,0.0,R228,W03,493,219,0,2023-12-19
200174,2025-08-27,1004,TriCounty Components,SKU0027,SE MI,97,86,11,12.79%,QuickRoute Carriers,Downtown Storage Co.,2025-09-02,2025-09-03,1,No,No,10.29,884.94,0.0,R353,W03,252,119,0,2025-09-03
200175,2024-03-12,1012,AutoSeal Gaskets,SKU0047,Central MI,61,62,1,1.61%,North Fork Logistics,Mid-MI Crossdock,2024-03-24,2024-03-24,0,Yes,No,9.92,615.04,0.0,R447,W02,333,123,0,2024-03-19
200176,2024-09-23,1003,Great Lakes Fasteners,SKU0019,Central MI,199,159,40,25.16%,Superior Haulage,Lakeside Warehousing,2024-09-26,2024-09-28,2,No,No,11.44,1818.96,0.0,R994,W01,489,32,0,2024-10-07
200177,2023-05-15,1001,Delta Plastics,SKU0004,Northern MI,170,298,128,42.95%,QuickRoute Carriers,Mid-MI Crossdock,2023-05-27,2023-05-27,0,Yes,No,13.5,4023.0,0.0,R451,W02,64,153,1,2023-05-18
200178,2025-08-20,1005,Riverbend Metals,SKU0039,Central MI,216,136,80,58.82%,North Fork Logistics,Lakeside Warehousing,2025-08-31,2025-08-31,0,Yes,No,15.06,2048.16,0.0,R410,W01,142,42,0,2025-08-23
200179,2025-02-26,1002,Midland Moldings,SKU0012,Central MI,85,90,5,5.56%,Superior Haulage,Mid-MI Crossdock,2025-03-12,2025-03-12,0,Yes,No,10.11,909.9,0.0,R895,W02,175,126,0,2025-02-27
200180,2025-09-13,1005,Riverbend Metals,SKU0034,SE MI,455,312,143,45.83%,QuickRoute Carriers,Lakeside Warehousing,2025-09-21,2025-09-28,7,No,No,10.73,3347.76,0.0,R114,W01,337,89,0,2025-09-20
200181,2024-11-16,1012,AutoSeal Gaskets,SKU0047,Northern MI,230,294,64,21.77%,North Fork Logistics,Mid-MI Crossdock,2024-11-25,2024-11-25,0,Yes,No,21.2,6232.8,0.0,R584,W02,414,95,0,2024-11-30
200182,2024-04-30,1003,Great Lakes Fasteners,SKU0022,Central MI,590,445,145,32.58%,QuickRoute Carriers,Downtown Storage Co.,2024-05-10,2024-05-10,0,Yes,No,9.51,4231.95,0.0,R327,W03,89,118,1,2024-05-14
200183,2025-08-26,1012,AutoSeal Gaskets,SKU0046,Northern MI,417,361,56,15.51%,Mitten Last-Mile,Lakeside Warehousing,2025-09-02,2025-09-02,0,Yes,No,12.14,4382.54,0.0,R551,W01,186,53,1,2025-09-02
200184,2025-05-15,1004,TriCounty Components,SKU0029,SE MI,109,145,36,24.83%,North Fork Logistics,Mid-MI Crossdock,2025-05-21,2025-05-23,2,No,Yes,13.87,2011.15,586.02,R234,W02,343,143,0,2025-05-16
200185,2025-07-03,1014,Precision Plastics West,SKU0065,SE MI,425,420,5,1.19%,North Fork Logistics,Mid-MI Crossdock,2025-07-14,2025-07-14,0,Yes,No,16.29,6841.8,0.0,R125,W02,23,54,1,2025-07-10
200186,2024-10-07,1012,AutoSeal Gaskets,SKU0043,SE MI,800,490,310,63.27%,North Fork Logistics,Lakeside Warehousing,2024-10-21,2024-10-21,0,Yes,No,11.77,5767.3,0.0,R693,W01,437,40,1,2024-10-10
200187,2025-04-10,1004,TriCounty Components,SKU0029,West MI,464,331,133,40.18%,Superior Haulage,Lakeside Warehousing,2025-04-17,2025-04-17,0,Yes,No,14.19,4696.89,0.0,R182,W01,28,112,1,2025-04-17
200188,2024-12-17,1004,TriCounty Components,SKU0025,SE MI,296,234,62,26.5%,North Fork Logistics,Downtown Storage Co.,2024-12-28,2024-12-29,1,No,No,16.49,3858.66,0.0,R734,W03,166,176,0,2024-12-24
200189,2025-09-07,1005,Riverbend Metals,SKU0031,SE MI,281,252,29,11.51%,QuickRoute Carriers,Downtown Storage Co.,2025-09-13,2025-09-13,0,Yes,No,17.07,4301.64,0.0,R614,W03,308,38,0,2025-09-21
200190,2025-02-04,1013,PolyTech Midwest,SKU0052,SE MI,169,214,45,21.03%,Superior Haulage,Mid-MI Crossdock,2025-02-10,2025-02-10,0,Yes,No,10.24,2191.36,0.0,R894,W02,39,35,1,2025-02-05
200191,2025-08-19,1004,TriCounty Components,SKU0030,West MI,285,414,129,31.16%,Mitten Last-Mile,Mid-MI Crossdock,2025-08-30,2025-08-31,1,No,No,15.5,6417.0,0.0,R869,W02,30,118,1,2025-09-02
200192,2025-08-31,1004,TriCounty Components,SKU0026,Northern MI,506,343,163,47.52%,Mitten Last-Mile,Lakeside Warehousing,2025-09-06,2025-09-06,0,Yes,No,15.11,5182.73,0.0,R884,W01,213,20,1,2025-09-03
200193,2024-04-09,1014,Precision Plastics West,SKU0064,West MI,67,51,16,31.37%,Superior Haulage,Downtown Storage Co.,2024-04-15,2024-04-15,0,Yes,No,12.4,632.4,0.0,R988,W03,314,50,0,2024-04-12
200194,2025-06-10,1012,AutoSeal Gaskets,SKU0046,Northern MI,351,255,96,37.65%,Superior Haulage,Lakeside Warehousing,2025-06-22,2025-06-23,1,No,No,13.79,3516.45,0.0,R965,W01,84,129,1,2025-06-17
200195,2024-05-27,1001,Delta Plastics,SKU0004,West MI,243,248,5,2.02%,Superior Haulage,Downtown Storage Co.,2024-06-08,2024-06-08,0,Yes,No,16.11,3995.28,0.0,R197,W03,259,243,0,2024-06-03
200196,2024-06-18,1001,Delta Plastics,SKU0004,Northern MI,54,57,3,5.26%,North Fork Logistics,Lakeside Warehousing,2024-06-30,2024-06-30,0,Yes,No,15.67,893.19,0.0,R296,W01,302,150,0,2024-07-02
200197,2025-09-04,1005,Riverbend Metals,SKU0036,Central MI,139,198,59,29.8%,North Fork Logistics,Lakeside Warehousing,2025-09-10,2025-09-11,1,No,No,16.43,3253.14,0.0,R513,W01,357,53,0,2025-09-18
200198,2025-08-31,1014,Precision Plastics West,SKU0061,Central MI,118,87,31,35.63%,QuickRoute Carriers,Lakeside Warehousing,2025-09-09,2025-09-09,0,Yes,No,14.19,1234.53,0.0,R283,W01,217,40,0,2025-09-03
200199,2025-03-04,1005,Riverbend Metals,SKU0034,Northern MI,333,302,31,10.26%,QuickRoute Carriers,Downtown Storage Co.,2025-03-18,2025-03-18,0,Yes,No,15.28,4614.56,0.0,R671,W03,273,88,0,2025-03-07
200200,2024-04-15,1004,TriCounty Components,SKU0025,SE MI,437,283,154,54.42%,North Fork Logistics,Lakeside Warehousing,2024-04-18,2024-04-18,0,Yes,No,12.88,3645.04,0.0,R420,W01,158,156,0,2024-04-29
200201,2023-11-06,1012,AutoSeal Gaskets,SKU0045,West MI,240,213,27,12.68%,QuickRoute Carriers,Downtown Storage Co.,2023-11-13,2023-11-13,0,Yes,No,16.11,3431.43,0.0,R305,W03,599,67,0,2023-11-09
200202,2024-08-02,1014,Precision Plastics West,SKU0058,Central MI,85,71,14,19.72%,Superior Haulage,Mid-MI Crossdock,2024-08-07,2024-08-07,0,Yes,No,9.28,658.88,0.0,R750,W02,363,155,0,2024-08-03
200203,2023-11-28,1012,AutoSeal Gaskets,SKU0045,Central MI,251,165,86,52.12%,QuickRoute Carriers,Downtown Storage Co.,2023-12-05,2023-12-05,0,Yes,No,15.52,2560.8,0.0,R332,W03,384,35,0,2023-12-01
200204,2025-09-08,1012,AutoSeal Gaskets,SKU0047,West MI,31,34,3,8.82%,Mitten Last-Mile,Mid-MI Crossdock,2025-09-12,2025-09-15,3,No,No,10.37,352.58,0.0,R918,W02,528,63,0,2025-09-15
200205,2025-09-13,1002,Midland Moldings,SKU0011,Central MI,267,270,3,1.11%,Superior Haulage,Lakeside Warehousing,2025-09-26,2025-09-26,0,Yes,No,13.57,3663.9,0.0,R469,W01,554,44,0,2025-09-27
200206,2025-08-25,1004,TriCounty Components,SKU0029,Central MI,270,257,13,5.06%,QuickRoute Carriers,Downtown Storage Co.,2025-09-08,2025-09-15,7,No,Yes,16.72,4297.04,202.26,R521,W03,300,38,0,2025-09-08
200207,2023-09-22,1002,Midland Moldings,SKU0014,West MI,412,377,35,9.28%,Mitten Last-Mile,Downtown Storage Co.,2023-10-02,2023-10-02,0,Yes,No,15.62,5888.74,0.0,R834,W03,442,165,0,2023-09-29
200208,2024-05-22,1004,TriCounty Components,SKU0030,SE MI,405,383,22,5.74%,QuickRoute Carriers,Downtown Storage Co.,2024-05-31,2024-05-31,0,Yes,No,12.76,4887.08,0.0,R318,W03,451,176,0,2024-05-29
200209,2025-08-25,1014,Precision Plastics West,SKU0061,Central MI,64,39,25,64.1%,Mitten Last-Mile,Downtown Storage Co.,2025-09-02,2025-09-02,0,Yes,No,13.18,514.02,0.0,R250,W03,379,40,0,2025-08-26
200210,2025-09-04,1004,TriCounty Components,SKU0026,Northern MI,197,194,3,1.55%,Mitten Last-Mile,Downtown Storage Co.,2025-09-13,2025-09-13,0,Yes,No,11.82,2293.08,0.0,R274,W03,524,125,0,2025-09-18
200211,2023-01-26,1012,AutoSeal Gaskets,SKU0044,Central MI,397,343,54,15.74%,North Fork Logistics,Downtown Storage Co.,2023-02-02,2023-02-03,1,No,No,17.43,5978.49,0.0,R973,W03,454,177,0,2023-01-27
200212,2025-08-26,1004,TriCounty Components,SKU0027,Central MI,356,230,126,54.78%,Mitten Last-Mile,Lakeside Warehousing,2025-09-09,2025-09-09,0,Yes,No,14.98,3445.4,0.0,R942,W01,76,113,1,2025-08-29
200213,2023-12-28,1014,Precision Plastics West,SKU0062,Central MI,111,94,17,18.09%,QuickRoute Carriers,Downtown Storage Co.,2024-01-11,2024-01-11,0,Yes,No,18.34,1723.96,0.0,R417,W03,520,170,0,2024-01-04
200214,2025-09-10,1001,Delta Plastics,SKU0001,Central MI,346,320,26,8.12%,Superior Haulage,Downtown Storage Co.,2025-09-24,2025-09-24,0,Yes,No,15.99,5116.8,0.0,R849,W03,590,114,0,2025-09-17
200215,2025-09-10,1014,Precision Plastics West,SKU0062,Central MI,55,53,2,3.77%,North Fork Logistics,Lakeside Warehousing,2025-09-14,2025-09-14,0,Yes,No,13.82,732.46,0.0,R423,W01,420,178,0,2025-09-13
200216,2023-07-24,1012,AutoSeal Gaskets,SKU0045,Central MI,318,322,4,1.24%,QuickRoute Carriers,Lakeside Warehousing,2023-08-05,2023-08-07,2,No,Yes,11.15,3590.3,193.99,R525,W01,534,91,0,2023-08-07
200217,2025-08-31,1002,Midland Moldings,SKU0011,Northern MI,121,195,74,37.95%,North Fork Logistics,Mid-MI Crossdock,2025-09-07,2025-09-07,0,Yes,No,15.19,2962.05,0.0,R296,W02,234,115,0,2025-09-07
200218,2025-08-25,1003,Great Lakes Fasteners,SKU0016,Central MI,403,446,43,9.64%,North Fork Logistics,Mid-MI Crossdock,2025-09-02,2025-09-03,1,No,Yes,9.95,4437.7,573.26,R107,W02,286,68,1,2025-08-28
200219,2024-08-03,1013,PolyTech Midwest,SKU0050,SE MI,305,249,56,22.49%,Superior Haulage,Lakeside Warehousing,2024-08-10,2024-08-10,0,Yes,No,14.95,3722.55,0.0,R944,W01,48,64,1,2024-08-04
200220,2025-06-24,1004,TriCounty Components,SKU0026,Central MI,59,39,20,51.28%,Superior Haulage,Downtown Storage Co.,2025-07-05,2025-07-06,1,No,Yes,12.16,474.24,376.31,R581,W03,76,148,0,2025-06-27
200221,2025-08-20,1014,Precision Plastics West,SKU0062,SE MI,69,63,6,9.52%,QuickRoute Carriers,Lakeside Warehousing,2025-08-26,2025-08-26,0,Yes,No,10.36,652.68,0.0,R723,W01,469,136,0,2025-08-27
200222,2024-11-12,1004,TriCounty Components,SKU0023,Central MI,166,163,3,1.84%,QuickRoute Carriers,Downtown Storage Co.,2024-11-15,2024-11-15,0,Yes,No,9.15,1491.45,0.0,R785,W03,186,72,0,2024-11-13
200223,2023-09-05,1013,PolyTech Midwest,SKU0056,Central MI,54,49,5,10.2%,Superior Haulage,Downtown Storage Co.,2023-09-15,2023-09-15,0,Yes,No,16.39,803.11,0.0,R583,W03,36,169,0,2023-09-12
200224,2025-08-01,1012,AutoSeal Gaskets,SKU0043,Northern MI,282,242,40,16.53%,Mitten Last-Mile,Lakeside Warehousing,2025-08-11,2025-08-11,0,Yes,No,17.95,4343.9,0.0,R534,W01,115,111,1,2025-08-02
200225,2025-06-12,1002,Midland Moldings,SKU0012,SE MI,130,166,36,21.69%,Mitten Last-Mile,Mid-MI Crossdock,2025-06-22,2025-06-22,0,Yes,No,17.83,2959.78,0.0,R263,W02,517,113,0,2025-06-13
200226,2025-04-21,1013,PolyTech Midwest,SKU0051,SE MI,37,31,6,19.35%,North Fork Logistics,Mid-MI Crossdock,2025-04-27,2025-04-27,0,Yes,No,12.61,390.91,0.0,R213,W02,261,31,0,2025-04-28
200227,2025-06-06,1014,Precision Plastics West,SKU0060,SE MI,178,125,53,42.4%,North Fork Logistics,Mid-MI Crossdock,2025-06-09,2025-06-09,0,Yes,No,15.67,1958.75,0.0,R586,W02,445,134,0,2025-06-09
200228,2025-03-19,1013,PolyTech Midwest,SKU0052,SE MI,493,350,143,40.86%,Superior Haulage,Lakeside Warehousing,2025-04-02,2025-04-02,0,Yes,No,16.29,5701.5,0.0,R959,W01,27,30,1,2025-03-20
200229,2024-05-18,1002,Midland Moldings,SKU0011,West MI,166,213,47,22.07%,QuickRoute Carriers,Mid-MI Crossdock,2024-05-22,2024-05-25,3,No,No,17.01,3623.13,0.0,R784,W02,482,94,0,2024-05-25
200230,2025-06-02,1003,Great Lakes Fasteners,SKU0021,Central MI,360,328,32,9.76%,Mitten Last-Mile,Downtown Storage Co.,2025-06-16,2025-06-16,0,Yes,No,14.64,4801.92,0.0,R182,W03,63,161,1,2025-06-16
